Unnamed: 0,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率,チーム
手原,1,0,0,0.0,0.0,1,1,0,0,38,0,2,16.0,26,0.62,0.0,FC東京
武藤,7,3,0,42.9,42.9,1,0,0,0,6,0,1,0.0,3,0.0,,FC東京
古賀,0,0,0,,,0,48,24,12,0,0,0,0.0,0,,62.5,FC東京
山田,3,1,0,33.3,33.3,0,1,0,0,4,0,1,0.0,4,0.0,0.0,FC東京
柳町,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,FC東京
橘,0,0,0,,,0,15,9,3,0,0,0,0.0,0,,70.0,FC東京
井上,11,9,0,81.8,81.8,0,1,1,0,8,2,1,4.0,7,0.57,100.0,FC東京
平田,9,5,0,55.6,55.6,2,3,1,0,27,0,3,6.0,22,0.27,33.3,FC東京
玉宅,1,0,0,0.0,0.0,0,0,0,0,9,0,1,2.0,5,0.4,,FC東京
手塚,2,1,0,50.0,50.0,0,1,1,0,4,0,2,0.0,3,0.0,100.0,FC東京
プレモビッチ,72,30,6,41.7,33.3,7,0,0,0,21,2,7,5.0,16,0.31,,FC東京
宮原,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,FC東京
谷口,0,0,0,,,0,0,0,0,2,0,0,2.0,1,2.0,,FC東京
小田嶋,2,2,0,100.0,100.0,3,0,0,0,7,0,1,2.0,6,0.33,,FC東京
黒田,16,5,3,31.2,12.5,0,8,4,2,2,0,0,0.0,2,0.0,62.5,FC東京
米田,0,0,0,,,0,0,0,0,10,0,3,2.0,7,0.29,,大分三好ヴァイセアドラー
高松,5,1,0,20.0,20.0,0,4,2,1,7,1,0,3.0,4,0.75,62.5,大分三好ヴァイセアドラー
古賀,10,6,1,60.0,50.0,1,0,0,0,4,0,1,0.0,3,0.0,,大分三好ヴァイセアドラー
松尾,0,0,0,,,0,10,4,3,0,0,0,0.0,0,,55.0,大分三好ヴァイセアドラー
大西,3,2,0,66.7,66.7,0,2,1,1,5,0,0,2.0,4,0.5,75.0,大分三好ヴァイセアドラー
井口,0,0,0,,,0,0,0,0,6,0,0,3.0,5,0.6,,大分三好ヴァイセアドラー
林,12,3,0,25.0,25.0,1,2,0,0,11,0,3,0.0,11,0.0,0.0,大分三好ヴァイセアドラー
濱本,0,0,0,,,0,0,0,0,5,0,2,0.0,5,0.0,,大分三好ヴァイセアドラー
山田,16,10,2,62.5,50.0,0,31,15,9,14,2,5,6.0,9,0.67,62.9,大分三好ヴァイセアドラー
川口,2,0,0,0.0,0.0,1,0,0,0,11,0,1,6.0,7,0.86,,大分三好ヴァイセアドラー
ストックトン,61,28,6,45.9,36.1,2,0,0,0,34,1,5,10.0,22,0.45,,大分三好ヴァイセアドラー
藤岡,1,0,0,0.0,0.0,2,0,0,0,8,0,0,3.0,6,0.5,,大分三好ヴァイセアドラー
田尻,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,大分三好ヴァイセアドラー
久保田,0,0,0,,,0,18,4,5,0,0,0,0.0,0,,36.1,大分三好ヴァイセアドラー
勝,5,2,0,40.0,40.0,1,14,2,5,10,0,2,1.0,7,0.14,32.1,大分三好ヴァイセアドラー
バグナス,55,31,4,56.4,49.1,3,39,14,11,24,1,4,5.0,19,0.26,50.0,大分三好ヴァイセアドラー
石橋,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,大分三好ヴァイセアドラー
辻口,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,大分三好ヴァイセアドラー
池田(幸),34,11,2,32.4,26.5,4,32,13,9,27,0,5,4.0,20,0.2,54.7,VC長野トライデンツ
笠利,33,18,2,54.5,48.5,1,35,17,6,28,0,1,10.0,20,0.5,57.1,VC長野トライデンツ
森崎,6,3,1,50.0,33.3,0,2,0,1,12,1,2,3.0,8,0.38,25.0,VC長野トライデンツ
戸嵜,58,17,1,29.3,27.6,5,78,37,13,36,1,6,6.0,26,0.23,55.8,VC長野トライデンツ
山本,0,0,0,,,0,36,20,6,0,0,0,0.0,0,,63.9,VC長野トライデンツ
中村,12,6,0,50.0,50.0,6,0,0,0,18,0,0,4.0,14,0.29,,VC長野トライデンツ
河東,0,0,0,,,0,0,0,0,38,1,0,9.0,26,0.35,,VC長野トライデンツ
椿,0,0,0,,,0,0,0,0,8,0,0,2.0,6,0.33,,VC長野トライデンツ
高澤,0,0,0,,,0,3,3,0,4,0,0,1.0,3,0.33,100.0,VC長野トライデンツ
角,0,0,0,,,0,1,0,0,0,0,0,0.0,0,,0.0,VC長野トライデンツ
伊藤,2,1,0,50.0,50.0,0,1,0,0,2,0,1,0.0,1,0.0,0.0,VC長野トライデンツ
矢貫,14,7,0,50.0,50.0,5,2,2,0,23,0,0,4.0,19,0.21,100.0,VC長野トライデンツ
森﨑,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,VC長野トライデンツ
リヴァン,134,66,10,49.3,41.8,5,1,0,1,34,1,6,11.0,23,0.48,50.0,VC長野トライデンツ
池田,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,VC長野トライデンツ
波佐間,0,0,0,,,0,0,0,0,14,2,0,3.0,9,0.33,,VC長野トライデンツ
池田(颯),1,0,0,0.0,0.0,0,0,0,0,2,0,1,0.0,2,0.0,,VC長野トライデンツ
