名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
佐々木博秋,2020-10,ヴォレアス北海道,13,6,1,2,3,16,9,1,56.2,50.0,3,2,1,3,10,0,4,2,10,5,3,12,66.7,3.0,1.0,-5.0,65.0
佐々木博秋,2020-11,ヴォレアス北海道,13,18,4,6,12,59,27,3,45.8,40.7,5,3,0,4,35,2,8,3,38,20,8,33,60.0,2.25,0.33,2.1,63.2
佐々木博秋,2020-12,ヴォレアス北海道,13,6,1,2,3,20,4,1,20.0,15.0,3,0,1,1,11,0,2,2,27,17,3,5,0.0,1.33,0.33,0.0,68.5
佐々木博秋,2021-02,ヴォレアス北海道,13,9,3,3,9,39,15,4,38.5,28.2,10,3,2,6,29,2,6,9,32,16,8,23,30.0,1.67,0.67,9.5,62.5
佐々木博秋,2021-03,ヴォレアス北海道,13,3,3,1,4,13,4,1,30.8,23.1,0,0,0,4,10,0,2,2,25,17,6,8,,1.0,1.0,0.0,80.0
佐藤利空,2021-01,長野GaRons,16,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤利空,2021-02,長野GaRons,16,10,19,2,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
佐藤匠,2020-10,埼玉アザレア,5,3,1,1,4,13,7,1,53.8,46.2,0,0,0,4,12,0,2,3,0,0,0,11,,1.75,1.0,2.1,
佐藤匠,2020-11,埼玉アザレア,5,1,6,0,7,20,12,1,60.0,55.0,0,0,0,3,20,1,1,2,0,0,0,16,,1.71,0.43,6.2,
佐藤匠,2020-12,埼玉アザレア,5,10,4,3,11,30,11,0,36.7,36.7,0,0,0,11,31,1,0,6,1,0,1,23,,1.0,1.0,8.1,50.0
佐藤匠,2021-01,埼玉アザレア,5,3,0,1,3,10,6,0,60.0,60.0,0,0,0,3,11,3,0,5,0,0,0,12,,2.0,1.0,38.6,
佐藤匠,2021-02,埼玉アザレア,5,12,3,4,15,60,27,5,45.0,36.7,0,0,0,10,48,2,2,6,0,0,0,39,,1.8,0.67,6.2,
佐藤匠,2021-03,埼玉アザレア,5,3,3,1,6,19,8,2,42.1,31.6,0,0,0,2,22,0,0,1,1,1,0,10,,1.33,0.33,1.1,100.0
佐藤陸善,2020-10,サフィルヴァ北海道,20,3,4,1,7,2,1,0,50.0,50.0,0,0,0,0,31,0,3,9,0,0,0,1,,0.14,0.0,4.8,
佐藤陸善,2020-11,サフィルヴァ北海道,20,5,15,1,20,5,3,0,60.0,60.0,0,0,0,4,61,2,8,8,1,0,0,9,,0.15,0.2,3.3,0.0
