名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブ効果,サーブ効果率,サーブレシーブ成功率,チーム
島田,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,KUROBEアクアフェアリーズ
菊池,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,KUROBEアクアフェアリーズ
堀口,21,5,0,23.8,23.8,0,4,2,1,18,1,2,4.0,11,0.36,8.0,14.7,62.5,PFUブルーキャッツ
津賀,4,2,0,50.0,50.0,0,0,0,0,6,0,0,2.0,3,0.67,2.0,8.3,,PFUブルーキャッツ
高相,30,11,1,36.7,33.3,0,18,12,2,12,0,2,3.0,7,0.43,6.0,10.0,72.2,PFUブルーキャッツ
瀬戸,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,PFUブルーキャッツ
村上,5,2,0,40.0,40.0,1,0,0,0,10,0,1,4.0,8,0.5,5.0,11.1,,PFUブルーキャッツ
森田,0,0,0,,,0,8,3,3,0,0,0,0.0,0,,0.0,,56.2,PFUブルーキャッツ
島畑,0,0,0,,,0,0,0,0,1,0,0,0.0,0,,1.0,25.0,,PFUブルーキャッツ
和才,0,0,0,,,0,14,4,8,0,0,0,0.0,0,,0.0,,57.1,PFUブルーキャッツ
山下,1,0,0,0.0,0.0,0,0,0,0,8,0,0,2.0,7,0.29,4.0,12.5,,PFUブルーキャッツ
合屋,3,0,0,0.0,0.0,0,0,0,0,2,0,1,0.0,1,0.0,0.0,-25.0,,PFUブルーキャッツ
綿引,1,0,0,0.0,0.0,2,3,2,1,15,1,0,3.0,13,0.23,6.0,15.6,83.3,PFUブルーキャッツ
石川,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,PFUブルーキャッツ
有田,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,PFUブルーキャッツ
アコスタ,75,39,1,52.0,50.7,0,25,11,7,22,1,3,4.0,8,0.5,6.0,8.8,58.0,PFUブルーキャッツ
