名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
熊井風音,トヨタ車体クインシーズ,10,14,81,25,3,30.9,27.2,4,0,0,1,41,1,5,8,56,23,13,0.0,1.79,0.07,4.3,52.7
田中咲希,ヴィクトリーナ姫路,13,81,629,262,29,41.7,37.0,11,3,1,9,189,6,11,57,313,133,57,27.3,3.23,0.11,9.3,51.6
田中瑞稀,JTマーヴェラス,6,65,640,223,30,34.8,30.2,60,22,10,12,241,9,37,64,473,209,108,36.7,3.43,0.18,6.5,55.6
田代佳奈美,デンソーエアリービーズ,6,72,48,25,1,52.1,50.0,4,0,1,10,226,7,8,69,2,0,0,0.0,0.35,0.14,9.8,0.0
田原愛里,デンソーエアリービーズ,8,4,0,0,0,,,0,0,0,0,5,0,2,0,0,0,0,,0.0,0.0,-10.0,
田口絢佳,岡山シーガルズ,3,3,2,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
田川紘美,埼玉上尾メディックス,20,37,1,1,0,100.0,100.0,0,0,0,0,64,2,2,18,1,0,0,,0.03,0.0,9.4,0.0
白井美沙紀,東レアローズ,4,59,1,1,0,100.0,100.0,0,0,0,0,102,2,11,24,0,0,0,,0.02,0.0,5.1,
白澤明香里,久光スプリングス,13,12,0,0,0,,,0,0,0,0,20,1,2,10,0,0,0,,0.0,0.0,15.0,
目黒優佳,JTマーヴェラス,11,57,2,0,0,0.0,0.0,2,0,0,0,91,2,3,24,78,48,17,0.0,0.0,0.0,8.0,72.4
石井優希,久光スプリングス,6,58,600,203,37,33.8,27.7,58,15,6,8,205,7,14,57,457,225,102,25.9,3.5,0.14,8.7,60.4
石川真佑,東レアローズ,12,74,693,296,39,42.7,37.1,97,22,11,18,333,18,38,94,495,242,110,22.7,4.0,0.24,9.6,60.0
石川真奈,PFUブルーキャッツ,15,14,56,16,5,28.6,19.6,3,0,0,2,16,2,4,3,40,10,11,0.0,1.14,0.14,10.9,38.8
神田さくら,JTマーヴェラス,17,9,23,8,1,34.8,30.4,0,0,0,1,40,1,2,9,1,1,0,,0.89,0.11,6.9,100.0
福井愛加,ヴィクトリーナ姫路,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
福留慧美,デンソーエアリービーズ,19,21,0,0,0,,,0,0,0,0,0,0,0,0,21,10,7,,0.0,0.0,,64.3
稲葉早生,トヨタ車体クインシーズ,2,6,19,6,2,31.6,21.1,2,1,0,0,4,0,0,2,0,0,0,50.0,1.0,0.0,12.5,
積山春花,デンソーエアリービーズ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
窪田美侑,日立リヴァーレ,4,60,152,57,18,37.5,25.7,6,2,0,7,147,10,9,59,282,126,73,33.3,0.95,0.12,15.3,57.6
立石優華,KUROBEアクアフェアリーズ,18,60,0,0,0,,,0,0,0,0,5,0,0,1,213,92,56,,0.0,0.0,5.0,56.3
籾井あき,JTマーヴェラス,8,72,62,38,2,61.3,58.1,1,0,0,12,199,6,17,57,1,0,0,0.0,0.53,0.17,8.0,0.0
細沼綾,KUROBEアクアフェアリーズ,14,73,265,93,17,35.1,28.7,2,1,0,21,181,6,17,58,20,4,9,50.0,1.27,0.29,9.0,42.5
綿引菜都美,PFUブルーキャッツ,10,55,104,28,5,26.9,22.1,0,0,0,29,181,6,8,34,9,3,5,,0.51,0.53,6.9,61.1
脇田美怜,ヴィクトリーナ姫路,10,2,7,1,0,14.3,14.3,0,0,0,0,2,0,2,0,3,1,1,,0.5,0.0,-25.0,50.0
舛田紗淑,KUROBEアクアフェアリーズ,9,73,710,221,40,31.1,25.5,68,24,4,13,279,10,40,86,601,241,172,35.3,3.03,0.18,7.7,54.4
船田芽依,岡山シーガルズ,22,51,0,0,0,,,0,0,0,0,39,1,1,11,83,36,16,,0.0,0.0,9.0,53.0
芥川愛加,JTマーヴェラス,1,73,178,76,4,42.7,40.4,0,0,0,39,147,8,10,40,12,6,1,,1.04,0.53,10.5,54.2
花井萌里,ヴィクトリーナ姫路,4,82,0,0,0,,,0,0,0,0,0,0,0,0,280,148,54,,0.0,0.0,,62.5
芳賀舞波,日立リヴァーレ,6,14,25,10,2,40.0,32.0,0,0,0,6,35,1,1,12,1,1,0,,0.71,0.43,10.7,100.0
荒木彩花,久光スプリングス,20,32,92,32,3,34.8,31.5,0,0,0,22,89,1,8,22,7,0,4,,1.0,0.69,5.1,28.6
荒木絵里香,トヨタ車体クインシーズ,11,72,281,112,16,39.9,34.2,0,0,0,58,268,17,14,88,5,2,2,,1.56,0.81,13.2,60.0
荒谷栞,ヴィクトリーナ姫路,11,77,317,109,16,34.4,29.3,3,0,0,33,245,10,20,79,7,3,1,0.0,1.42,0.43,10.1,50.0
藪田美穂子,トヨタ車体クインシーズ,17,72,644,217,54,33.7,25.3,37,9,7,18,281,11,25,89,594,228,146,24.3,3.01,0.25,9.6,50.7
西川有喜,JTマーヴェラス,13,2,11,3,1,27.3,18.2,3,0,1,1,2,0,0,1,0,0,0,0.0,1.5,0.5,12.5,
西村弥菜美,岡山シーガルズ,10,51,36,9,2,25.0,19.4,2,0,0,1,54,2,0,18,121,57,35,0.0,0.18,0.02,12.0,61.6
貞包里穂,ヴィクトリーナ姫路,1,68,703,223,23,31.7,28.4,68,24,4,8,244,12,9,69,229,64,52,35.3,3.28,0.12,11.1,39.3
辻彩乃,トヨタ車体クインシーズ,9,6,3,0,0,0.0,0.0,0,0,0,0,5,1,2,1,0,0,0,,0.0,0.0,15.0,
道下ひなの,KUROBEアクアフェアリーズ,21,24,79,25,5,31.6,25.3,0,0,0,4,62,3,3,15,1,0,1,,1.04,0.17,9.7,50.0
